,metric,value,fold,target
0,MSE,0.3340064287185669,1,actual
1,MAE,0.5012572407722473,1,actual
2,MdAE,0.5060337781906128,1,actual
3,ACPER,0.0006250976715111736,1,actual
4,MAPE,-0.08208097517490387,1,actual
5,RMSE,0.5779328942298889,1,actual
6,R2,-9.138259815522076e-07,1,actual
7,MSE,0.3337887227535248,2,actual
8,MAE,0.5004425048828125,2,actual
9,MdAE,0.5023889541625977,2,actual
10,ACPER,0.000781372089388967,2,actual
11,MAPE,-0.05157295987010002,2,actual
12,RMSE,0.5777444839477539,2,actual
13,R2,-4.983843659100984e-05,2,actual
14,MSE,0.33496055006980896,3,actual
15,MAE,0.4999845027923584,3,actual
16,MdAE,0.4951872229576111,3,actual
17,ACPER,0.0012503907471084713,3,actual
18,MAPE,-0.09669529646635056,3,actual
19,RMSE,0.5787577629089355,3,actual
20,R2,-3.075949990072324e-05,3,actual
21,MSE,0.3362499475479126,4,actual
22,MAE,0.5014556646347046,4,actual
23,MdAE,0.5012837052345276,4,actual
24,ACPER,0.0,4,actual
25,MAPE,0.016492784023284912,4,actual
26,RMSE,0.5798706412315369,4,actual
27,R2,-0.00025880986510551374,4,actual
28,MSE,0.32700785994529724,5,actual
29,MAE,0.4931548237800598,5,actual
30,MdAE,0.4966123402118683,5,actual
31,ACPER,0.00046889653016567677,5,actual
32,MAPE,-0.0681702196598053,5,actual
33,RMSE,0.5718460083007812,5,actual
34,R2,-0.0002509487613986394,5,actual
