,smiles,actual,predicted
0,[O-][N+](=Nc1ccccc1)c1ccccc1,2.505,2.5961306
1,BrC(Br)Br,2.343,2.1929152
2,C=CBr,2.33,2.500718
3,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465,1.6281369
4,S=C=Nc1ccc(Br)cc1,2.729,2.8493714
5,O=c1[nH]c2ccc(Br)cc2o1,2.33,1.9897928
6,Brc1ccccc1,1.765,1.9315846
7,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21,2.314948
8,Brc1nc(Br)c(Br)[nH]1,3.952,3.9948354
9,BrCBr,3.207,2.8897872
10,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839,2.6049373
11,BrCC=CCBr,3.455,3.1955113
12,BrCCBr,3.24,2.9024243
13,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209,2.4789555
14,C#CCCCC#C,1.603,2.2853389
15,C#CCOCC#C,2.242,2.637882
16,C(CC1CO1)OCCC1CO1,2.17,2.204773
17,C(CCC1CO1)CC1CO1,2.124,2.129466
18,c1ccc(COCc2ccccc2)cc1,1.899,1.9681101
19,C(OCC1CO1)C1CO1,2.461,2.117215
20,C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961,2.6112037
21,C[Si](Cl)(Cl)CCCC#N,1.809,2.0564024
22,C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968,2.3284948
23,C=C1CC(=O)O1,2.176,1.7707392
24,C=CC#N,2.833,2.4860785
25,C=CC(=O)NCNC(=O)C=C,2.597,2.6935146
26,C=CC(=O)OC1CC2CCC1C2,1.468,2.055773
27,C=CC(=O)OCC1CO1,2.785,2.46202
28,C=CC(=O)OCCC#N,2.842,2.4523082
29,C=CC(=O)OCCOC(=O)C=C,2.754,2.4084983
30,C=CC(=O)OCCOc1ccccc1,1.569,2.1488447
31,C=CC(=O)OCCOCCC#N,2.179,2.426781
32,C=CC(=O)OCCOCCOC(=O)C=C,2.729,2.3128495
33,C=CC=C,0.994,2.204739
34,C=CC=CC=C,2.582,2.4932818
35,C=CC=NNc1ccccc1,2.32,2.462279
36,C=CC=O,3.086,2.4092345
37,C=Cc1ccccc1,1.319,1.8684508
38,C=Cc1ccccn1,3.022,2.4876199
39,C=Cc1ccncc1,3.022,2.4526513
40,C=CC1CC2C=CC1C2,1.44,2.227085
41,C=CC1CCC(C=C)OC1,1.75,2.235922
42,C=CC1CC=CCC1,1.625,1.7594005
43,C=CC1CCC2OC2C1,1.793,2.1247966
44,C=CC1OCC2(CO1)COC(C=C)OC2,1.718,2.2518692
45,C=CCC#N,2.766,2.4571931
46,C=CCc1ccc2c(c1)OCO2,1.92,2.5031288
47,C=CCc1cccc(CC=C)c1OCC1CO1,1.71,2.3031178
48,C=CCC1CC(=O)OC1=O,2.117,2.1908288
49,C=CCCC=O,2.132,2.3953576
50,C=CCN(CC=C)CC=C,2.125,2.4271579
51,C=CCN(CC=C)N=O,2.198,2.7050583
52,C=CCN=C=S,2.947,2.6489978
53,C=CCNCC=C,2.226,2.1164408
54,C=CCOC(=O)C=CC(=O)OCC=C,2.816,2.2688975
55,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505,2.0601761
56,C=CCOC(=O)Cc1ccccc1,2.433,2.0839014
57,C=CCOC(=O)CC1CCCCC1,2.306,2.3427875
58,C=CCOC(=O)CCC1CCCCC1,2.526,2.3611584
59,C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256,2.4684196
60,C=CCOC=C,2.185,2.1161757
61,C=CCOC=O,2.842,2.2338746
62,C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335,2.5780172
63,C=CCOC1CC2CC1CC2OCC=C,1.747,2.2179656
64,C=CCOCC=C,2.487,2.4334223
65,C=CCOCCC#N,1.932,2.3562112
66,C=CN1CC1,2.895,2.6290183
67,C=CN1CCCC1=O,1.879,1.8244869
68,C=COC(=O)c1ccccc1,1.659,1.8013145
69,C=COC=O,1.407,1.7574533
70,C=COCCOCCOC=C,1.627,1.5191221
71,C=CS(=O)(=O)C=C,3.567,2.5863838
72,C=O,1.574,2.2146437
73,c1cc(-c2ccncc2)ccn1,2.958,2.3505619
74,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327,2.3450954
75,c1ccc(-c2ccccc2)cc1,1.808,1.9020984
76,c1ccc(N=Nc2ccccc2)cc1,2.261,2.4590652
77,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574,2.6007726
78,c1ccc(-c2ccccn2)nc1,3.194,2.3627067
79,c1ccc2cnccc2c1,2.555,2.1477253
80,c1ccccc1,1.373,1.8176612
81,c1ccncc1,1.948,1.6589708
82,c1ccc2c(c1)-c1cccc3cccc-2c13,2.005,2.419393
83,c1ccc2ncccc2c1,2.591,2.5219786
84,c1cc2ccc3cccc4ccc(c1)c2c34,1.875,2.1233058
85,c1ccc2ccccc2c1,2.418,2.097149
86,C1=CC=CCC=C1,3.209,2.5810823
87,C1=CC2C3C=CC(C3)C2C1,2.573,2.599558
88,C1=CCC2CC=CC2C1,1.508,1.6130953
89,C1=CC2C=CC1C2,2.015,2.0771167
90,C1C2CC3OC3C2CC2OC12,1.852,1.8393549
91,C1C2OC2C2C1C1CC2C2OC12,2.893,2.728152
92,C1=CCC(C2CC3C=CC2C3)CC1,1.609,1.8770101
93,C1=CCCC1,1.614,2.1610417
94,C1CC2CC1C1SSSC21,2.802,3.034861
95,C1CC2CC1CC2CNCC1CC2CCC1C2,2.219,1.6667249
96,C1CC2OC2C1OC1CCC2OC12,1.93,2.8539774
97,C1CC2OC2CC1C1CO1,1.818,2.042947
98,C1CCC(OC2CCCC2)C1,2.516,2.2584958
99,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124,2.3767695
100,C1CCC(NC2CCCCC2)CC1,2.687,2.4057193
101,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2.276,3.1059427
102,c1ccc2c(c1)CCCC2,1.665,1.8962705
103,C1CCC2CCCCC2C1,1.521,2.15384
104,C1CCC2OC2C1,1.954,1.8392489
105,C1CCCCC1,0.821,1.6092248
