,metric,value,fold,target
0,MSE,0.06741580367088318,1,AR
1,MAE,0.1983000487089157,1,AR
2,MdAE,0.16971582174301147,1,AR
3,ACPER,0.041666666666666664,1,AR
4,MAPE,0.06975289434194565,1,AR
5,RMSE,0.2596455216407776,1,AR
6,MSE,0.08981539309024811,2,AR
7,MAE,0.23090048134326935,2,AR
8,MdAE,0.1849641501903534,2,AR
9,ACPER,0.03225806451612903,2,AR
10,MAPE,0.45243072509765625,2,AR
11,RMSE,0.29969215393066406,2,AR
12,MSE,0.07590381801128387,3,AR
13,MAE,0.1917230635881424,3,AR
14,MdAE,0.1326049268245697,3,AR
15,ACPER,0.056925996204933584,3,AR
16,MAPE,0.013545910827815533,3,AR
17,RMSE,0.27550646662712097,3,AR
18,MSE,0.08098230510950089,4,AR
19,MAE,0.21072599291801453,4,AR
20,MdAE,0.16980281472206116,4,AR
21,ACPER,0.04364326375711575,4,AR
22,MAPE,0.4744209945201874,4,AR
23,RMSE,0.28457391262054443,4,AR
24,MSE,0.07733625918626785,5,AR
25,MAE,0.19343894720077515,5,AR
26,MdAE,0.1310518980026245,5,AR
27,ACPER,0.051233396584440226,5,AR
28,MAPE,0.6064590811729431,5,AR
29,RMSE,0.27809396386146545,5,AR
