,metric,value,fold,target
0,MSE,0.0680551677942276,1,AR
1,MAE,0.1904534101486206,1,AR
2,MdAE,0.13967680931091309,1,AR
3,ACPER,0.05113636363636364,1,AR
4,MAPE,-0.0036485556047409773,1,AR
5,RMSE,0.26087385416030884,1,AR
6,MSE,0.07288813591003418,2,AR
7,MAE,0.19160383939743042,2,AR
8,MdAE,0.14064419269561768,2,AR
9,ACPER,0.04743833017077799,2,AR
10,MAPE,0.41061511635780334,2,AR
11,RMSE,0.26997801661491394,2,AR
12,MSE,0.07664693146944046,3,AR
13,MAE,0.1961410939693451,3,AR
14,MdAE,0.1399730145931244,3,AR
15,ACPER,0.05502846299810247,3,AR
16,MAPE,-0.08052617311477661,3,AR
17,RMSE,0.2768518328666687,3,AR
18,MSE,0.07907914370298386,4,AR
19,MAE,0.1998409479856491,4,AR
20,MdAE,0.14528635144233704,4,AR
21,ACPER,0.05502846299810247,4,AR
22,MAPE,0.3755328357219696,4,AR
23,RMSE,0.28121015429496765,4,AR
24,MSE,0.0782109871506691,5,AR
25,MAE,0.19926050305366516,5,AR
26,MdAE,0.15000024437904358,5,AR
27,ACPER,0.04933586337760911,5,AR
28,MAPE,0.39370477199554443,5,AR
29,RMSE,0.27966228127479553,5,AR
