,0
0,-0.8402382
1,-0.99765104
2,-0.63231534
3,-0.91326874
4,-0.830776
5,0.8119609
6,0.78246087
7,0.73027766
8,-0.37469667
9,-0.8809222
10,0.60781324
11,0.68962157
12,-0.980971
13,-0.98434037
14,0.7749281
15,0.8324935
16,0.8261521
17,0.4697857
18,-0.9932628
19,-0.9743006
20,0.8131588
21,-0.7899502
22,-0.84282553
23,0.81511223
24,-0.9923559
25,0.8223655
26,-0.14506498
27,-0.77883327
28,-0.9545887
29,-0.89049774
30,-0.9583295
31,-0.9845197
32,-0.97139114
33,-0.7236182
34,-0.99758106
35,-0.901721
36,-0.99897987
37,-0.9184921
38,-0.9995246
39,-0.966781
40,-0.7412077
41,-0.9997049
42,-0.9963574
43,-0.99885225
44,-0.990854
45,-0.98327637
46,-0.93312764
47,-0.9250358
48,-0.9991261
49,-0.96836686
50,-0.94655746
51,-0.9756045
52,-0.98300576
53,-0.77862865
54,-0.9317474
55,-0.9482992
56,-0.6898499
57,-0.7880947
58,-0.9021598
59,-0.90019876
60,-0.92513806
61,-0.9057979
62,-0.98502815
63,-0.93597096
64,-0.99645567
65,-0.8136999
66,-0.7847912
67,-0.9537923
68,-0.9419101
69,-0.84960306
70,-0.8444646
71,-0.9999339
72,-0.8525267
73,-0.95327383
74,-0.5858249
75,-0.9276573
76,-0.8095856
77,-0.99340767
78,-0.9900622
79,-0.9592353
80,-0.9977787
81,-0.97469527
82,-0.59520453
83,-0.86870354
84,-0.5623171
85,-0.9835315
86,-0.9765335
87,-0.999687
88,-0.9198651
89,-0.9480125
90,-0.961544
91,-0.8070136
92,-0.9568399
93,-0.91601795
94,-0.8569965
95,-0.80631435
96,-0.91568255
97,-0.94762605
98,-0.770621
99,-0.9527702
100,-0.89340526
101,-0.86014104
102,-0.9310707
103,-0.94932437
104,-0.85193074
105,-0.95701915
106,-0.7884911
107,-0.999967
108,-0.9803696
109,-0.72645175
110,-0.9489159
111,-0.77572966
112,-0.98520136
113,-0.7984318
114,-0.9206789
115,-0.99755925
116,-0.98723406
117,-0.866431
118,-0.9080359
119,-0.9980144
120,-0.9441824
121,-0.95475614
122,-0.9501513
123,-0.99921906
124,-0.9070641
125,-0.8414482
126,-0.8428439
127,-0.8176211
128,-0.9978245
129,-0.7071872
130,-0.7143404
131,-0.9920652
132,-0.9914229
133,-0.779738
134,-0.9450481
135,-0.98732555
136,-0.99709046
137,-0.9606339
138,-0.83405024
139,-0.9458006
140,-0.8135098
141,-0.99012136
142,-0.93277895
143,-0.9647833
144,-0.83583057
145,-0.9936888
146,-0.99803984
147,-0.99729383
148,-0.95377874
149,-0.98845726
150,-0.9997107
151,-0.98023385
152,-0.9953914
153,-0.9982066
154,-0.8282876
155,-0.9653879
156,-0.9840533
157,-0.9883003
158,-0.94311166
159,-0.87968725
160,-0.9779121
161,-0.9008538
162,-0.9937232
163,-0.9391713
164,-0.9999888
165,-0.8922412
166,-0.93329614
167,-0.98052806
168,-0.99540776
169,-0.99862206
170,-0.9800416
171,-0.99417
172,-0.986909
173,-0.70112544
174,-0.8135375
175,-0.9953631
176,-0.999033
177,-0.76807016
178,-0.9677341
179,-0.9924744
180,-0.9905188
181,-0.9505637
182,-0.99995404
183,-0.99987954
184,-0.82970184
185,-0.90895724
186,-0.94013244
187,-0.8681015
188,-0.9999022
189,-0.83156407
190,-0.98643893
191,-0.99092126
192,-0.92878896
193,-0.96272284
194,-0.99898416
195,-0.9967707
196,-0.99996763
197,-0.9999927
198,-0.9821629
199,-0.9563497
200,-0.9957641
201,-0.8302712
202,-0.9415246
203,-0.99997276
204,-0.96992594
205,-0.97224206
206,-0.86682004
207,-0.99430865
208,-0.963442
209,-0.9998005
210,-0.96869797
211,-0.9708931
212,-0.99322534
213,-0.9885396
214,-0.8716728
215,-0.9947442
216,-0.7973994
217,-0.99534696
218,-0.96889156
219,-0.9663746
220,-0.9890962
221,-0.9986465
222,-0.76711684
223,-0.9881544
224,-0.9960257
225,-0.84968406
226,-0.99006927
227,-0.831864
228,-0.99571824
229,-0.99844545
230,-0.99991614
231,-0.96925193
232,-0.9876837
233,-0.9122174
234,-0.98099864
235,-0.9984574
236,-0.9995176
237,1.0
238,-0.99691117
239,-0.8639912
240,-0.99811155
241,-0.78336936
242,-0.43252382
243,-0.09736439
244,-0.5918454
245,-0.99933296
246,-0.999592
247,-0.9890205
248,-0.99747616
249,-0.9999461
250,-0.43915993
251,-0.9870689
252,-0.9979764
253,-0.4712584
254,-0.99224365
255,-0.5685523
256,-0.7162733
257,-0.9910628
258,-0.98606914
259,-0.9969751
260,-0.99558496
261,-0.9987596
262,-0.7845837
263,-0.9940159
264,-0.8322557
265,-0.96949875
266,-0.7666562
267,-0.99912953
268,-0.9998343
269,-0.99854785
270,-0.99915886
271,-0.9985685
272,-0.99425614
273,-0.988211
274,-0.9955022
275,-0.9980833
276,-0.99867165
277,-0.13145395
278,-0.99937993
279,-0.9997798
280,-0.9398811
