,metric,value,fold,target
0,MSE,0.08344463258981705,1,actual
1,MAE,0.21780925989151,1,actual
2,MdAE,0.18184113502502441,1,actual
3,ACPER,0.0,1,actual
4,MAPE,-0.48761433362960815,1,actual
5,RMSE,0.28886786103248596,1,actual
6,R2,0.017790532122164637,1,actual
7,MSE,0.08392336219549179,2,actual
8,MAE,0.22124741971492767,2,actual
9,MdAE,0.17526742815971375,2,actual
10,ACPER,0.0,2,actual
11,MAPE,-0.49086251854896545,2,actual
12,RMSE,0.28969529271125793,2,actual
13,R2,0.027064630129200684,2,actual
14,MSE,0.07970251888036728,3,actual
15,MAE,0.22424612939357758,3,actual
16,MdAE,0.1913338601589203,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.5856652855873108,3,actual
19,RMSE,0.2823163568973541,3,actual
20,R2,0.09481398837529886,3,actual
21,MSE,0.07992913573980331,4,actual
22,MAE,0.23049095273017883,4,actual
23,MdAE,0.2059134840965271,4,actual
24,ACPER,0.0,4,actual
25,MAPE,-0.5499691963195801,4,actual
26,RMSE,0.28271740674972534,4,actual
27,R2,0.003917146508975122,4,actual
28,MSE,0.07976245135068893,5,actual
29,MAE,0.2267823964357376,5,actual
30,MdAE,0.19920048117637634,5,actual
31,ACPER,0.0,5,actual
32,MAPE,-0.521968424320221,5,actual
33,RMSE,0.2824224829673767,5,actual
34,R2,0.053946639426669885,5,actual
