,0
0,-0.9999881
1,-0.99765104
2,-0.63231534
3,0.7715496
4,-0.91326874
5,-0.830776
6,0.78246087
7,0.73027766
8,-0.37469667
9,-0.983323
10,-0.8809222
11,0.60781324
12,0.68962157
13,-0.980971
14,-0.670522
15,-0.98434037
16,0.7749281
17,0.83093584
18,0.8324935
19,-0.5048187
20,0.4697857
21,-0.9932628
22,-0.9743006
23,0.8131588
24,-0.7899502
25,-0.84282553
26,0.81511223
27,-0.9923559
28,-0.14506498
29,-0.77883327
30,-0.8657573
31,-0.7127756
32,-0.85351336
33,-0.9545887
34,-0.91253006
35,-0.89049774
36,-0.9583295
37,-0.97139114
38,-0.7236182
39,-0.99758106
40,-0.901721
41,-0.9557562
42,-0.99897987
43,-0.9995246
44,-0.9260741
45,-0.966781
46,-0.7412077
47,-0.9997049
48,-0.9963574
49,-0.99885225
50,-0.990854
51,-0.98327637
52,-0.93312764
53,-0.9991261
54,-0.96836686
55,-0.94655746
56,-0.9756045
57,-0.7890508
58,-0.77862865
59,-0.9317474
60,-0.9482992
61,-0.6898499
62,-0.7880947
63,-0.9021598
64,-0.90019876
65,-0.92513806
66,-0.9057979
67,-0.9432663
68,-0.98502815
69,-0.93597096
70,-0.8136999
71,-0.7847912
72,-0.9537923
73,-0.9419101
74,-0.84960306
75,-0.8444646
76,-0.9999339
77,-0.5858249
78,-0.7625918
79,-0.99794817
80,-0.8095856
81,-0.99340767
82,-0.9900622
83,-0.8481893
84,-0.9592353
85,-0.9977787
86,-0.9048543
87,-0.97469527
88,-0.86870354
89,-0.5623171
90,-0.88177854
91,-0.9765335
92,-0.999687
93,-0.9198651
94,-0.961544
95,-0.8070136
96,-0.91601795
97,-0.8569965
98,-0.9052612
99,-0.80631435
100,-0.81025314
101,-0.91568255
102,-0.94762605
103,-0.8749963
104,-0.770621
105,-0.97214556
106,-0.86014104
107,-0.9310707
108,-0.94932437
109,-0.98383844
110,-0.85193074
111,-0.95701915
112,-0.83628374
113,-0.7884911
114,-0.999967
115,-0.9803696
116,-0.72645175
117,-0.77572966
118,-0.98520136
119,-0.7984318
120,-0.9206789
121,-0.99755925
122,-0.866431
123,-0.83377343
124,-0.9080359
125,-0.9980144
126,-0.9916307
127,-0.9441824
128,-0.95475614
129,-0.9501513
130,-0.99921906
131,-0.9070641
132,-0.8414482
133,-0.9849579
134,-0.9999778
135,-0.8428439
136,-0.8176211
137,-0.9978245
138,-0.7071872
139,-0.7143404
140,-0.9997403
141,-0.9936187
142,-0.779738
143,-0.9450481
144,-0.98732555
145,-0.99709046
146,-0.83405024
147,-0.9458006
148,-0.8135098
149,-0.98552555
150,-0.99012136
151,-0.93277895
152,-0.9936888
153,-0.99803984
154,-0.99729383
155,-0.9913997
156,-0.95377874
157,-0.98845726
158,-0.9997107
159,-0.98023385
160,-0.9953914
161,-0.906915
162,-0.8282876
163,-0.8794195
164,-0.99033
165,-0.9840533
166,-0.9883003
167,-0.94311166
168,-0.9779121
169,-0.9866144
170,-0.999995
171,-0.9997722
172,-0.81855553
173,-0.9391713
174,-0.9999888
175,-0.8922412
176,-0.9867767
177,-0.93329614
178,-0.9800416
179,-0.986909
180,-0.70112544
181,-0.8135375
182,-0.99999976
183,-0.9677341
184,-0.9924744
185,-0.9905188
186,-0.9505637
187,-0.99995404
188,-0.99463
189,-0.82970184
190,-0.90895724
191,-0.94013244
192,-0.83156407
193,-0.99766177
194,-0.99092126
195,-0.92878896
196,-0.99898416
197,-0.9967707
198,-0.99996763
199,-0.97908473
200,-0.9999927
201,-0.9563497
202,-0.9984005
203,-0.9415246
204,-0.99997276
205,-0.96992594
206,-0.97224206
207,-0.9877173
208,-0.99430865
209,-0.963442
210,-0.9998005
211,-0.96869797
212,-0.9885396
213,-0.997473
214,-0.9947442
215,-0.984401
216,-0.7973994
217,-0.99534696
218,-0.96889156
219,-0.98449624
220,-0.9663746
221,-0.9890962
222,-0.9986465
223,-0.9881544
224,-0.84968406
225,-0.831864
226,-0.99844545
227,-0.99991614
228,-0.96925193
229,-0.79583275
230,-0.98099864
231,-0.9984574
232,-0.9995176
233,-0.99691117
234,-0.8639912
235,-0.99811155
236,-0.78336936
237,-0.97190714
238,-0.43252382
239,-0.09736439
240,-0.99933296
241,-0.999592
242,-0.9890205
243,-0.99747616
244,-0.5484249
245,-0.9999461
246,-0.43915993
247,-0.9870689
248,-0.9979764
249,-0.4712584
250,-0.99224365
251,-0.5685523
252,-0.7162733
253,-0.9910628
254,-0.98606914
255,-0.9969751
256,-0.9987596
257,-0.7845837
258,-0.9940159
259,-0.15696958
260,-0.8322557
261,-0.96949875
262,-0.7666562
263,-0.99912953
264,-0.9998343
265,-0.99854785
266,-0.99915886
267,-0.9985685
268,-0.99425614
269,-0.988211
270,-0.9980833
271,-0.9407131
272,-0.99867165
273,-0.13145395
274,-0.99937993
275,-0.9997798
276,-0.95132685
277,-0.9398811
278,-0.9569421
279,-0.51326364
280,-0.99731356
281,-0.8377339
282,-0.998006
283,-0.99935234
284,-0.9917804
285,-0.8353991
286,-0.99997216
287,-0.5798469
288,-0.9434981
289,-0.6616173
290,-0.9980064
291,-0.99997824
292,-0.9992549
293,-0.9962152
294,-0.9986973
295,-0.6988333
296,-0.99849087
297,-0.54404527
298,-0.77979773
299,-0.945905
300,-0.74247235
301,-0.59468275
302,-0.4480501
303,-0.47223532
304,-0.43509296
305,-0.9999357
306,-0.17838693
307,-0.56397
308,-0.69532037
309,-0.99138534
310,-0.71781385
311,-0.8818362
312,-0.41135302
313,-0.696352
314,-0.3949706
315,-0.48547503
316,-0.8505835
317,-0.861124
318,-0.4425792
319,-0.9960869
320,-0.20610216
321,-0.99981946
322,-0.39044157
323,-0.7169348
324,-0.6941522
325,-0.3112339
326,-0.32924053
327,-0.698168
328,-0.41722268
329,-0.91460174
330,-0.18360361
331,-0.35566044
332,-0.47080317
333,-0.17887168
334,-0.3628236
335,-0.7754939
336,-0.96672463
337,-0.5132618
338,-0.38459632
339,-0.16614641
340,-0.98860073
341,-0.90125
342,-0.11580913
343,-0.77921873
344,-0.28557006
345,-0.86814487
346,-0.13467719
347,-0.9999981
348,-0.8592859
349,-0.701849
350,-0.70010585
351,-0.6320869
352,-0.33289453
353,-0.48540923
354,-0.46173313
355,-0.19026801
356,-0.7530578
357,-0.8842708
358,-0.47775957
359,-0.7503302
360,-0.18586874
361,-0.9999782
362,-0.9861641
363,-0.99934536
364,-0.9913155
365,-0.6461786
366,-0.32093468
367,-0.7815439
368,-0.7690739
369,-0.4589003
370,-0.41446376
371,-0.99999774
372,-0.48018423
373,-0.8761703
374,-0.74280536
375,-0.7659615
376,-0.7043011
377,-0.88984376
378,-0.99999917
379,-0.9999994
380,-0.8189089
381,-0.7660248
382,-0.8387831
383,-0.8608646
384,-0.99833316
385,-0.922187
386,-0.8048341
387,-0.34007025
388,-0.8209214
389,-0.29393756
390,-0.9041998
391,-0.3824196
392,-0.5041474
393,-0.35262802
394,-0.75264865
395,-0.9909868
396,-0.29104254
397,-0.37101915
398,-0.290048
399,-0.4933431
400,-0.39188
401,-0.9657024
402,-0.5869338
403,-0.90005463
404,-0.7537694
405,-1.0
406,-0.9904487
407,-0.5410914
408,-0.28666672
409,-0.40305382
410,-0.9265004
411,-0.9999992
412,-0.42496726
413,-0.7850392
414,-0.9463874
415,-0.9999997
416,-0.81738454
417,-0.9983103
418,-0.40908062
419,-0.9904888
420,-0.2788986
421,-0.33736458
422,-0.4624061
423,-0.9605816
424,-0.27429453
425,-0.7513512
426,-0.99958974
427,-0.35914612
428,-0.36590734
429,-0.9476628
430,-0.9999977
431,-0.7635108
432,-0.9783782
433,-0.64767873
434,-0.9532755
435,-0.6614982
436,-0.8496052
437,-0.7633952
438,-0.67777663
439,-0.8223937
440,-0.99931663
441,-0.7382791
442,-0.9925248
443,-0.28937638
444,-0.99999917
445,-0.7402098
446,-0.89339155
447,-0.4092418
448,-0.7554248
449,-0.79922897
450,-0.6506785
451,-0.41806346
452,-0.6882879
453,-0.6373418
454,-0.6498165
455,-0.39698264
456,-0.9956092
457,-0.7219368
458,-0.8216513
459,-0.35063276
460,-0.3070271
461,-0.5386561
462,-0.30702308
463,-0.52241814
464,-0.687686
465,-0.30521873
466,-0.3249779
467,-0.67073894
468,-0.30415618
469,-0.6946045
470,-0.87105733
471,-0.9863713
472,-0.82194585
473,-0.39555487
474,-0.45351517
475,-0.50101405
476,-0.35225853
477,-0.39721063
478,-0.8942349
479,-0.9974564
480,-0.67427075
481,-0.8771753
482,-0.96949756
483,-0.6687679
484,-0.9463308
485,-0.9656037
486,-0.80301595
487,-0.9812881
488,-0.7060772
489,-0.96522576
490,-0.7353067
491,-0.99178666
492,-0.53829557
493,-0.45665747
494,-0.69638276
495,-0.9997897
496,-0.9973058
497,-0.77339053
498,-0.59134454
499,-0.4215469
500,-0.4197704
501,-0.8251968
502,-0.2835781
503,-0.999998
504,-0.9999989
505,-0.3151016
506,-0.9007398
507,-0.8452835
508,-0.8787222
509,-0.68875456
510,-0.9814028
511,-0.6989012
512,-0.8734354
513,-0.41481543
514,-0.27578703
515,-0.9974999
516,-0.9999996
517,-0.9956067
518,-0.99999946
519,-0.64262724
520,-0.99049026
521,-0.75277406
522,-0.91779864
523,-0.57168764
524,-0.9114309
525,-0.99977267
526,-0.68151397
527,-0.43746918
528,-0.99998945
529,-0.49973115
530,-0.86975026
531,-0.39587462
532,-0.9989882
533,-0.69689304
534,-0.21412846
535,-0.39926252
536,-0.9998445
537,-0.6641513
538,-0.9113711
539,-0.7538593
540,-0.99956626
541,-0.8451666
542,-0.9560259
543,-0.8058486
544,-0.7631692
545,-0.65788066
546,-0.6808694
547,-0.6712622
548,-0.9858692
549,-0.9434212
550,-0.9993047
551,-0.37971467
552,-0.7865174
553,-0.9459097
554,-0.98503613
555,-0.99241227
556,-0.98878133
557,-0.9993296
558,-0.53214705
559,-0.8709383
560,-0.960316
561,-0.7457391
562,-0.7899446
563,-0.7943767
564,-0.9929428
565,-0.9999954
566,-0.5336609
567,-0.97250307
568,-0.27256802
569,-0.38775435
570,-0.996805
571,-0.6525824
572,-0.4657682
573,-0.76872945
574,-0.6629363
575,-0.99608934
576,-0.8529396
577,-0.65355587
578,-0.91918176
579,-0.6990637
580,-0.67813057
581,-0.9996529
582,-0.69068736
583,-0.37302363
584,-0.48072612
585,-0.6606339
586,-0.9998347
587,-0.9939585
588,-0.645044
589,-0.99686277
590,-0.9050245
591,-0.72089076
592,-0.80600876
593,-0.6990646
594,-0.28172335
595,-0.38157818
596,-0.87314177
597,-0.6931197
598,-0.87225914
599,-0.6794514
600,-0.32438797
601,-0.44907257
602,-0.6659873
603,-0.9064206
604,-0.7965335
605,-0.9958209
606,-0.5972234
607,-0.6613791
608,-0.65847147
609,-0.745462
610,-0.97973377
611,-0.90900874
612,-0.5058853
613,-0.8795772
614,-0.9999984
615,-0.49180004
616,-0.7237583
617,-0.35446563
618,-0.66871476
619,-0.99999905
620,-0.46906474
621,-0.94289094
622,-0.33162507
623,-0.9999991
624,-0.73026067
625,-0.7388827
626,-0.87247247
627,-0.9580269
628,-0.69713974
629,-0.9999977
630,-0.3171044
631,-0.99999964
632,-0.40018836
633,-0.268212
634,-0.6606828
635,-0.33953315
636,-0.94334906
637,-0.7236072
638,-0.73308295
639,-0.98643357
640,-0.9992735
641,-0.6972574
642,-0.8657635
643,-0.7551689
644,-0.3214539
645,-0.9976087
646,-0.6497227
647,-0.68295544
648,-0.9999994
649,-0.9894254
650,-0.99999976
651,-0.9999977
652,-0.7278114
653,-0.26951286
654,-0.63312393
655,-0.98019856
656,-0.8320467
657,-0.7976448
658,-0.29748458
659,-0.3333348
660,-0.99978286
