,metric,value,fold,target
0,MSE,0.08646706491708755,1,actual
1,MAE,0.22185909748077393,1,actual
2,MdAE,0.17975756525993347,1,actual
3,ACPER,0.0,1,actual
4,MAPE,-0.48955512046813965,1,actual
5,RMSE,0.2940528392791748,1,actual
6,R2,-0.017785864091395487,1,actual
7,MSE,0.0874156728386879,2,actual
8,MAE,0.2255934476852417,2,actual
9,MdAE,0.18280288577079773,2,actual
10,ACPER,0.0,2,actual
11,MAPE,-0.4942101240158081,2,actual
12,RMSE,0.29566141963005066,2,actual
13,R2,-0.013422301582749263,2,actual
14,MSE,0.0850016176700592,3,actual
15,MAE,0.22802503407001495,3,actual
16,MdAE,0.18425607681274414,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.6095834970474243,3,actual
19,RMSE,0.2915503680706024,3,actual
20,R2,0.034631854975307075,3,actual
21,MSE,0.08082979172468185,4,actual
22,MAE,0.22762367129325867,4,actual
23,MdAE,0.1933237910270691,4,actual
24,ACPER,0.0,4,actual
25,MAPE,-0.5588180422782898,4,actual
26,RMSE,0.2843058109283447,4,actual
27,R2,-0.007306892055072733,4,actual
28,MSE,0.08885364979505539,5,actual
29,MAE,0.23519933223724365,5,actual
30,MdAE,0.20026904344558716,5,actual
31,ACPER,0.0,5,actual
32,MAPE,-0.5533975958824158,5,actual
33,RMSE,0.2980833053588867,5,actual
34,R2,-0.05388302667244704,5,actual
