,0
0,-0.8402382
1,-0.9999881
2,-0.63231534
3,0.7715496
4,-0.91326874
5,-0.830776
6,0.8119609
7,0.78246087
8,0.73027766
9,-0.37469667
10,-0.983323
11,-0.8809222
12,0.68962157
13,-0.980971
14,-0.670522
15,-0.98434037
16,0.83093584
17,-0.5048187
18,0.8261521
19,0.4697857
20,-0.9932628
21,-0.9743006
22,0.8131588
23,-0.7899502
24,-0.84282553
25,0.81511223
26,-0.9923559
27,0.8223655
28,-0.14506498
29,-0.77883327
30,-0.8657573
31,-0.7127756
32,-0.85351336
33,-0.91253006
34,-0.9583295
35,-0.9845197
36,-0.97139114
37,-0.7236182
38,-0.99758106
39,-0.901721
40,-0.9557562
41,-0.99897987
42,-0.9184921
43,-0.9260741
44,-0.966781
45,-0.7412077
46,-0.9963574
47,-0.99885225
48,-0.990854
49,-0.93312764
50,-0.9250358
51,-0.9991261
52,-0.96836686
53,-0.94655746
54,-0.9756045
55,-0.7890508
56,-0.98300576
57,-0.77862865
58,-0.9317474
59,-0.9482992
60,-0.6898499
61,-0.7880947
62,-0.92513806
63,-0.9057979
64,-0.9432663
65,-0.98502815
66,-0.93597096
67,-0.99645567
68,-0.8136999
69,-0.7847912
70,-0.9537923
71,-0.9419101
72,-0.8525267
73,-0.95327383
74,-0.5858249
75,-0.7625918
76,-0.99794817
77,-0.9276573
78,-0.8095856
79,-0.99340767
80,-0.9900622
81,-0.8481893
82,-0.9592353
83,-0.9977787
84,-0.9048543
85,-0.97469527
86,-0.59520453
87,-0.86870354
88,-0.5623171
89,-0.88177854
90,-0.9835315
91,-0.999687
92,-0.9198651
93,-0.9480125
94,-0.961544
95,-0.8070136
96,-0.9568399
97,-0.91601795
98,-0.9052612
99,-0.81025314
100,-0.91568255
101,-0.8749963
102,-0.770621
103,-0.9527702
104,-0.97214556
105,-0.89340526
106,-0.86014104
107,-0.9310707
108,-0.94932437
109,-0.98383844
110,-0.95701915
111,-0.83628374
112,-0.7884911
113,-0.9803696
114,-0.72645175
115,-0.9489159
116,-0.77572966
117,-0.98520136
118,-0.7984318
119,-0.9206789
120,-0.98723406
121,-0.83377343
122,-0.9080359
123,-0.9916307
124,-0.9441824
125,-0.95475614
126,-0.9501513
127,-0.8414482
128,-0.9849579
129,-0.9999778
130,-0.8176211
131,-0.9978245
132,-0.9997403
133,-0.9936187
134,-0.9920652
135,-0.9914229
136,-0.779738
137,-0.9450481
138,-0.98732555
139,-0.99709046
140,-0.9606339
141,-0.9458006
142,-0.8135098
143,-0.98552555
144,-0.99012136
145,-0.93277895
146,-0.9647833
147,-0.83583057
148,-0.9936888
149,-0.99803984
150,-0.99729383
151,-0.9913997
152,-0.95377874
153,-0.98845726
154,-0.9997107
155,-0.98023385
156,-0.906915
157,-0.9982066
158,-0.8282876
159,-0.8794195
160,-0.99033
161,-0.9653879
162,-0.9840533
163,-0.9883003
164,-0.94311166
165,-0.87968725
166,-0.9779121
167,-0.9866144
168,-0.9008538
169,-0.9937232
170,-0.999995
171,-0.9997722
172,-0.81855553
173,-0.9391713
174,-0.9999888
175,-0.8922412
176,-0.9867767
177,-0.98052806
178,-0.99540776
179,-0.99862206
180,-0.9800416
181,-0.99417
182,-0.70112544
183,-0.8135375
184,-0.99999976
185,-0.9953631
186,-0.999033
187,-0.76807016
188,-0.9677341
189,-0.9924744
190,-0.9905188
191,-0.9505637
192,-0.99995404
193,-0.99463
194,-0.99987954
195,-0.82970184
196,-0.90895724
197,-0.94013244
198,-0.8681015
199,-0.9999022
200,-0.83156407
201,-0.98643893
202,-0.99766177
203,-0.99092126
204,-0.92878896
205,-0.96272284
206,-0.99898416
207,-0.9967707
208,-0.99996763
209,-0.97908473
210,-0.9999927
211,-0.9821629
212,-0.9984005
213,-0.9957641
214,-0.8302712
215,-0.9415246
216,-0.99997276
217,-0.96992594
218,-0.97224206
219,-0.86682004
220,-0.9877173
221,-0.99430865
222,-0.963442
223,-0.9998005
224,-0.96869797
225,-0.9708931
226,-0.99322534
227,-0.9885396
228,-0.8716728
229,-0.997473
230,-0.9947442
231,-0.984401
232,-0.99534696
233,-0.96889156
234,-0.98449624
235,-0.9890962
236,-0.76711684
237,-0.9960257
238,-0.99006927
239,-0.99571824
240,-0.99844545
241,-0.99991614
242,-0.9876837
243,-0.9122174
244,-0.79583275
245,-0.98099864
246,1.0
247,-0.99691117
248,-0.99811155
249,-0.97190714
250,-0.09736439
251,-0.5918454
252,-0.999592
253,-0.9890205
254,-0.5484249
255,-0.9999461
256,-0.9979764
257,-0.5685523
258,-0.7162733
259,-0.9910628
260,-0.9969751
261,-0.99558496
262,-0.9987596
263,-0.7845837
264,-0.15696958
265,-0.8322557
266,-0.96949875
267,-0.7666562
268,-0.99912953
269,-0.9998343
270,-0.99915886
271,-0.9985685
272,-0.99425614
273,-0.988211
274,-0.9955022
275,-0.9980833
276,-0.9407131
277,-0.99867165
278,-0.13145395
279,-0.99937993
280,-0.9997798
281,-0.95132685
282,-0.9398811
283,-0.9569421
284,-0.51326364
285,-0.9915792
286,-0.8377339
287,-0.99032927
288,-0.9917804
289,-0.8353991
290,-0.84312415
291,-0.6330353
292,-0.9434981
293,-0.99997824
294,-0.9992549
295,-0.9962152
296,-0.9986973
297,-0.6988333
298,-0.99849087
299,-0.9999863
300,-0.77979773
301,-0.945905
302,-0.74247235
303,-0.858373
304,-0.59468275
305,-0.925279
306,-0.4480501
307,-0.47223532
308,-0.76342946
309,-0.3964871
310,-0.43509296
311,-0.9999357
312,-0.56397
313,-0.73520553
314,-0.99138534
315,-0.71781385
316,-0.48866144
317,-0.17974885
318,-0.696352
319,-0.3949706
320,-0.44138634
321,-0.48547503
322,-0.8505835
323,-0.861124
324,-0.4425792
325,-0.9960869
326,-0.20610216
327,-0.99981946
328,-0.7169348
329,-0.6941522
330,-0.3112339
331,-0.698168
332,-0.41722268
333,-0.91460174
334,-0.18360361
335,-0.35566044
336,-0.47080317
337,-0.17887168
338,-0.8275172
339,-0.7754939
340,-0.5132618
341,-0.38459632
342,-0.16614641
343,-0.210823
344,-0.98860073
345,-0.90125
346,-0.47540617
347,-0.11580913
348,-0.77921873
349,-0.28557006
350,-0.577858
351,-0.34622413
352,-0.56672066
353,-0.2766705
354,-0.701849
355,-0.70010585
356,-0.6320869
357,-0.48540923
358,-0.3288295
359,-0.46173313
360,-0.26658493
361,-0.19026801
362,-0.7530578
363,-0.8842708
364,-0.47775957
365,-0.18586874
366,-0.31418067
367,-0.9999782
368,-0.999984
369,-0.99934536
370,-0.6461786
371,-0.9884595
372,-0.32093468
373,-0.7815439
374,-0.7690739
375,-0.41446376
376,-0.99999774
377,-0.9999955
378,-0.48018423
379,-0.74280536
380,-0.97113514
381,-0.7659615
382,-0.45649174
383,-0.7043011
384,-0.8859393
385,-0.88984376
386,-0.99999917
387,-0.9999994
388,-0.8189089
389,-0.7660248
390,-0.8387831
391,-0.8608646
392,-0.85403764
393,-0.99833316
394,-0.922187
395,-0.8048341
396,-0.8209214
397,-0.29393756
398,-0.9041998
399,-0.44528052
400,-0.3824196
401,-0.75264865
402,-0.7780938
