,metric,value,fold,target
0,MSE,0.09783684462308884,1,actual
1,MAE,0.23335979878902435,1,actual
2,MdAE,0.1826600283384323,1,actual
3,ACPER,0.0,1,actual
4,MAPE,-0.5277724862098694,1,actual
5,RMSE,0.31278881430625916,1,actual
6,R2,-0.15161719480248115,1,actual
7,MSE,0.09492940455675125,2,actual
8,MAE,0.23336637020111084,2,actual
9,MdAE,0.18821972608566284,2,actual
10,ACPER,0.0,2,actual
11,MAPE,-0.5214568972587585,2,actual
12,RMSE,0.3081061542034149,2,actual
13,R2,-0.1005299913171449,2,actual
14,MSE,0.09059108793735504,3,actual
15,MAE,0.23168568313121796,3,actual
16,MdAE,0.1779455542564392,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.6336215734481812,3,actual
19,RMSE,0.3009835481643677,3,actual
20,R2,-0.02884813669881514,3,actual
21,MSE,0.08304674923419952,4,actual
22,MAE,0.23047249019145966,4,actual
23,MdAE,0.19468334317207336,4,actual
24,ACPER,0.0,4,actual
25,MAPE,-0.5840965509414673,4,actual
26,RMSE,0.28817832469940186,4,actual
27,R2,-0.034934842093892415,4,actual
28,MSE,0.10188699513673782,5,actual
29,MAE,0.24284124374389648,5,actual
30,MdAE,0.20249027013778687,5,actual
31,ACPER,0.0,5,actual
32,MAPE,-0.5501179695129395,5,actual
33,RMSE,0.319197416305542,5,actual
34,R2,-0.20847008302248393,5,actual
