,0
0,-0.8402382
1,-0.99997085
2,-0.9997766
3,-0.99997354
4,-0.99765104
5,-0.63231534
6,-0.999926
7,-0.9999601
8,-0.99999547
9,-0.830776
10,0.8119609
11,0.78246087
12,-0.99862325
13,0.73027766
14,-0.91571426
15,-0.983323
16,-0.8809222
17,0.60781324
18,0.68962157
19,-0.980971
20,-0.670522
21,-0.98434037
22,0.7749281
23,0.83093584
24,0.8324935
25,-0.5048187
26,0.8261521
27,0.4697857
28,-0.9932628
29,-0.84282553
30,-0.9923559
31,-0.14506498
32,-0.77883327
33,-0.8657573
34,-0.7127756
35,-0.85351336
36,-0.91253006
37,-0.89049774
38,-0.9583295
39,-0.97139114
40,-0.7236182
41,-0.99758106
42,-0.901721
43,-0.9557562
44,-0.99897987
45,-0.9184921
46,-0.9995246
47,-0.9260741
48,-0.966781
49,-0.9159306
50,-0.9997049
51,-0.9458041
52,-0.99885225
53,-0.990854
54,-0.98327637
55,-0.93312764
56,-0.9250358
57,-0.9999967
58,-0.9991261
59,-0.96836686
60,-0.94655746
61,-0.9756045
62,-0.7890508
63,-0.98300576
64,-0.77862865
65,-0.9317474
66,-0.6898499
67,-0.7880947
68,-0.90389687
69,-0.9021598
70,-0.90019876
71,-0.92513806
72,-0.9432663
73,-0.83613765
74,-0.98502815
75,-0.93597096
76,-0.99645567
77,-0.8136999
78,-0.7847912
79,-0.9419101
80,-0.84960306
81,-0.8444646
82,-0.9999339
83,-0.8525267
84,-0.95327383
85,-0.5858249
86,-0.7625918
87,-0.99794817
88,-0.9999919
89,-0.9276573
90,-0.8095856
91,-0.99340767
92,-0.9900622
93,-0.8481893
94,-0.9977787
95,-0.97469527
96,-0.99997103
97,-0.59520453
98,-0.86870354
99,-0.5623171
100,-0.88177854
101,-0.9835315
102,-0.9765335
103,-0.999687
104,-0.9480125
105,-0.961544
106,-0.9568399
107,-0.91601795
108,-0.9052612
109,-0.80631435
110,-0.81025314
111,-0.94762605
112,-0.8749963
113,-0.770621
114,-0.9527702
115,-0.97214556
116,-0.89340526
117,-0.86014104
118,-0.94932437
119,-0.98383844
120,-0.85193074
121,-0.95701915
122,-0.83628374
123,-0.7884911
124,-0.72645175
125,-0.9489159
126,-0.77572966
127,-0.98520136
128,-0.7984318
129,-0.98723406
130,-0.866431
131,-0.83377343
132,-0.9980144
133,-0.9916307
134,-0.9441824
135,-0.95475614
136,-0.9501513
137,-0.99921906
138,-0.8414482
139,-0.9849579
140,-0.9999778
141,-0.8428439
142,-0.8176211
143,-0.9978245
144,-0.7071872
145,-0.7143404
146,-0.9997403
147,-0.9936187
148,-0.9920652
149,-0.9914229
150,-0.779738
151,-0.9450481
152,-0.98732555
153,-0.99709046
154,-0.9458006
155,-0.8135098
156,-0.98552555
157,-0.99012136
158,-0.93277895
159,-0.9647833
160,-0.9936888
161,-0.98405904
162,-0.99729383
163,-0.95377874
164,-0.98845726
165,-0.9997107
166,-0.98023385
167,-0.9953914
168,-0.906915
169,-0.9982066
170,-0.8282876
171,-0.9999977
172,-0.8794195
173,-0.988006
174,-0.99033
175,-0.9840533
176,-0.9883003
177,-0.94311166
178,-0.96767056
179,-0.87968725
180,-0.9805471
181,-0.94948643
182,-0.9008538
183,-0.9937232
184,-0.999995
185,-0.9997722
186,-0.99998933
187,-0.81855553
188,-0.9391713
189,-0.9999888
190,-0.93329614
191,-0.98052806
192,-0.99540776
193,-0.99862206
194,-0.9800416
195,-0.986909
