,metric,value,fold,target
0,MSE,0.08637242019176483,1,actual
1,MAE,0.22267058491706848,1,actual
2,MdAE,0.19236820936203003,1,actual
3,ACPER,0.0,1,actual
4,MAPE,-0.5659232139587402,1,actual
5,RMSE,0.2938918471336365,1,actual
6,R2,0.03811931991061257,1,actual
7,MSE,0.08060517907142639,2,actual
8,MAE,0.22928141057491302,2,actual
9,MdAE,0.1986355185508728,2,actual
10,ACPER,0.0,2,actual
11,MAPE,-0.5046069025993347,2,actual
12,RMSE,0.28391051292419434,2,actual
13,R2,0.027229771567268357,2,actual
14,MSE,0.0751211866736412,3,actual
15,MAE,0.21781626343727112,3,actual
16,MdAE,0.18736523389816284,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.5669481754302979,3,actual
19,RMSE,0.2740824520587921,3,actual
20,R2,0.07692571058761721,3,actual
21,MSE,0.08242470771074295,4,actual
22,MAE,0.22114554047584534,4,actual
23,MdAE,0.1792908012866974,4,actual
24,ACPER,0.0,4,actual
25,MAPE,-0.4924222230911255,4,actual
26,RMSE,0.2870970368385315,4,actual
27,R2,0.038744121629441186,4,actual
28,MSE,0.07864302396774292,5,actual
29,MAE,0.21901364624500275,5,actual
30,MdAE,0.18117618560791016,5,actual
31,ACPER,0.0,5,actual
32,MAPE,-0.5732821822166443,5,actual
33,RMSE,0.28043362498283386,5,actual
34,R2,0.10374718520358694,5,actual
