,0
0,-0.9999881
1,-0.99765104
2,-0.91326874
3,-0.830776
4,0.8119609
5,0.73027766
6,-0.983323
7,-0.8809222
8,0.60781324
9,0.68962157
10,-0.670522
11,-0.98434037
12,0.7749281
13,0.83093584
14,-0.5048187
15,0.4697857
16,-0.9932628
17,0.8131588
18,-0.7899502
19,-0.84282553
20,0.81511223
21,-0.9923559
22,0.8223655
23,-0.14506498
24,-0.77883327
25,-0.8657573
26,-0.7127756
27,-0.85351336
28,-0.91253006
29,-0.89049774
30,-0.97139114
31,-0.99758106
32,-0.901721
33,-0.9557562
34,-0.99897987
35,-0.9184921
36,-0.9995246
37,-0.9260741
38,-0.966781
39,-0.7412077
40,-0.99885225
41,-0.990854
42,-0.98327637
43,-0.9250358
44,-0.9991261
45,-0.96836686
46,-0.94655746
47,-0.9756045
48,-0.7890508
49,-0.98300576
50,-0.9839839
51,-0.77862865
52,-0.9482992
53,-0.6898499
54,-0.9021598
55,-0.92513806
56,-0.9057979
57,-0.93597096
58,-0.99645567
59,-0.7847912
60,-0.9537923
61,-0.9419101
62,-0.8444646
63,-0.9999339
64,-0.8525267
65,-0.95327383
66,-0.5858249
67,-0.7625918
68,-0.99794817
69,-0.9276573
70,-0.9977787
71,-0.9048543
72,-0.97469527
73,-0.59520453
74,-0.5623171
75,-0.88177854
76,-0.9835315
77,-0.999687
78,-0.9198651
79,-0.9480125
80,-0.961544
81,-0.91601795
82,-0.8569965
83,-0.9052612
84,-0.80631435
85,-0.81025314
86,-0.94762605
87,-0.8749963
88,-0.770621
89,-0.9527702
90,-0.97214556
91,-0.89340526
92,-0.86014104
93,-0.98383844
94,-0.95701915
95,-0.83628374
96,-0.999967
97,-0.72645175
98,-0.77572966
99,-0.98520136
100,-0.7984318
101,-0.9206789
102,-0.99755925
103,-0.98723406
104,-0.83377343
105,-0.9080359
106,-0.9980144
107,-0.9441824
108,-0.95475614
109,-0.9501513
110,-0.99921906
111,-0.9070641
112,-0.9849579
113,-0.9999778
114,-0.8176211
115,-0.7071872
116,-0.7143404
117,-0.9936187
118,-0.9920652
119,-0.9914229
120,-0.779738
121,-0.99709046
122,-0.9606339
123,-0.83405024
124,-0.8135098
125,-0.98552555
126,-0.83583057
127,-0.99803984
128,-0.99729383
129,-0.9913997
130,-0.95377874
131,-0.98845726
132,-0.9997107
133,-0.98023385
134,-0.9953914
135,-0.9982066
136,-0.8282876
137,-0.8794195
138,-0.99033
139,-0.9653879
140,-0.9840533
141,-0.9883003
142,-0.94311166
143,-0.87968725
144,-0.9805471
145,-0.9779121
146,-0.9866144
147,-0.9008538
148,-0.9937232
149,-0.999995
150,-0.81855553
151,-0.9391713
152,-0.9999888
153,-0.8922412
154,-0.9867767
155,-0.93329614
156,-0.98052806
157,-0.99540776
158,-0.9800416
159,-0.99417
160,-0.986909
161,-0.70112544
162,-0.8135375
163,-0.99999976
164,-0.9953631
165,-0.999033
166,-0.76807016
167,-0.9677341
168,-0.9924744
169,-0.9505637
170,-0.99995404
171,-0.99463
172,-0.99987954
173,-0.82970184
174,-0.94013244
175,-0.8681015
176,-0.83156407
177,-0.98643893
178,-0.99766177
179,-0.99092126
180,-0.92878896
181,-0.96272284
182,-0.99898416
183,-0.9967707
184,-0.97908473
185,-0.9999927
186,-0.9821629
187,-0.9563497
188,-0.9984005
189,-0.9957641
190,-0.8302712
191,-0.99997276
192,-0.96992594
193,-0.97224206
194,-0.86682004
195,-0.9877173
196,-0.99430865
197,-0.963442
198,-0.96869797
199,-0.9708931
200,-0.99322534
201,-0.9885396
202,-0.8716728
203,-0.997473
204,-0.7973994
205,-0.99534696
206,-0.96889156
207,-0.98449624
208,-0.9663746
209,-0.9890962
210,-0.9986465
211,-0.76711684
212,-0.9881544
213,-0.9960257
214,-0.84968406
215,-0.99006927
216,-0.831864
217,-0.99571824
218,-0.99844545
219,-0.99991614
220,-0.96925193
221,-0.9876837
222,-0.9122174
223,-0.79583275
224,-0.9984574
225,-0.9995176
226,1.0
227,-0.99811155
228,-0.97190714
229,-0.09736439
230,-0.99933296
231,-0.9890205
232,-0.5484249
233,-0.9999461
234,-0.9870689
235,-0.9979764
236,-0.4712584
237,-0.99224365
238,-0.9910628
239,-0.98606914
240,-0.99558496
241,-0.7845837
242,-0.15696958
243,-0.8543437
244,-0.96949875
245,-0.99912953
246,-0.99854785
247,-0.99915886
248,-0.988211
249,-0.99867165
250,-0.13145395
251,-0.9997798
252,-0.95132685
253,-0.9398811
254,-0.9569421
255,-0.99731356
256,-0.9915792
257,-0.8377339
258,-0.998006
259,-0.99032927
260,-0.99935234
261,-0.8353991
262,-0.84312415
263,-0.99997216
264,-0.5798469
265,-0.6330353
266,-0.9434981
267,-0.6616173
268,-0.9980064
269,-0.99997824
270,-0.9992549
271,-0.9962152
272,-0.9986973
273,-0.6988333
274,-0.99849087
275,-0.54404527
276,-0.77979773
277,-0.74247235
278,-0.925279
279,-0.47223532
280,-0.76342946
281,-0.3964871
282,-0.17838693
283,-0.56397
284,-0.99138534
285,-0.71781385
286,-0.8818362
287,-0.48866144
288,-0.17974885
289,-0.41135302
290,-0.696352
291,-0.44138634
292,-0.48547503
293,-0.8505835
294,-0.4425792
295,-0.9960869
296,-0.20610216
297,-0.99981946
298,-0.39044157
299,-0.6941522
300,-0.3112339
301,-0.32924053
302,-0.698168
303,-0.41722268
304,-0.35566044
305,-0.47080317
306,-0.3628236
307,-0.8275172
308,-0.5132618
309,-0.210823
310,-0.98860073
311,-0.90125
312,-0.47540617
313,-0.11580913
314,-0.77921873
315,-0.28557006
316,-0.577858
317,-0.34622413
318,-0.56672066
319,-0.86814487
320,-0.13467719
321,-0.9999981
322,-0.70010585
323,-0.6320869
324,-0.33289453
325,-0.48540923
326,-0.3288295
327,-0.26658493
328,-0.19026801
329,-0.8842708
330,-0.47775957
331,-0.18586874
332,-0.31418067
333,-0.9999782
334,-0.9861641
335,-0.999984
336,-0.99934536
337,-0.9884595
338,-0.32093468
339,-0.7815439
340,-0.7690739
341,-0.4589003
342,-0.41446376
343,-0.99999976
344,-0.99999774
345,-0.9999955
346,-0.97113514
347,-0.7659615
348,-0.45649174
349,-0.8859393
350,-0.88984376
351,-0.99999917
352,-0.9999994
353,-0.8189089
354,-0.7660248
355,-0.8608646
356,-0.99833316
357,-0.922187
358,-0.8048341
359,-0.29393756
360,-0.9041998
361,-0.3824196
362,-0.5041474
363,-0.75264865
364,-0.7780938
365,-0.9909868
366,-0.29104254
367,-0.37101915
368,-0.4933431
369,-0.74589
370,-0.39188
371,-0.9657024
372,-0.90005463
373,-0.7537694
374,-1.0
375,-0.9904487
376,-0.88887906
377,-0.5410914
378,-0.28666672
379,-0.40305382
380,-0.9265004
381,-0.4778899
382,-0.50748837
383,-0.7380902
384,-0.9999992
385,-0.8166718
386,-0.42496726
387,-0.7850392
388,-0.9463874
389,-0.9983103
390,-0.9904888
391,-0.8235817
392,-0.2788986
393,-0.33736458
394,-0.44727373
395,-0.4624061
396,-0.9605816
397,-0.27429453
398,-0.7513512
399,-0.99958974
400,-0.35914612
401,-0.36590734
402,-0.71081483
403,-0.9833165
404,-0.7635108
405,-0.9532755
406,-0.99996257
407,-0.34495407
408,-0.99931663
409,-0.7382791
410,-0.28937638
411,-0.99999917
412,-0.7402098
413,-0.89339155
414,-0.7688682
415,-0.7554248
416,-0.6506785
417,-0.41806346
418,-0.6882879
419,-0.6498165
420,-0.9711546
421,-0.9872681
422,-0.39698264
423,-0.7219368
424,-0.8216513
425,-0.3070271
426,-0.5386561
427,-0.30702308
428,-0.687686
429,-0.30521873
430,-0.9999738
431,-0.28146586
432,-0.67073894
433,-0.30415618
434,-0.87105733
435,-0.9863713
436,-0.82194585
437,-0.45351517
438,-0.50101405
439,-0.35225853
440,-0.39721063
441,-0.8942349
442,-0.821271
443,-0.6341734
444,-0.9974564
445,-0.67427075
446,-0.8771753
447,-0.8685077
448,-0.6687679
449,-0.99999255
450,-0.9463308
451,-0.80301595
452,-0.9812881
453,-0.9999927
454,-0.744209
455,-0.96522576
456,-0.7353067
457,-0.99178666
458,-0.53829557
459,-0.4273994
460,-0.45665747
461,-0.9997897
462,-0.63635975
463,-0.9973058
464,-0.77339053
465,-0.59134454
466,-0.4215469
467,-0.4197704
468,-0.999998
469,-0.552651
470,-0.9999989
471,-0.9007398
472,-0.99572784
473,-0.8452835
474,-0.8787222
475,-0.68875456
476,-0.9814028
477,-0.27578703
478,-0.9974999
479,-0.9956067
480,-0.9992948
481,-0.64262724
482,-0.99049026
483,-0.75277406
484,-0.91779864
485,-0.9114309
486,-0.99977267
487,-0.68151397
488,-0.43746918
489,-0.99998945
490,-0.29684967
491,-0.86975026
492,-0.69689304
493,-0.21412846
494,-0.9998445
495,-0.6641513
496,-0.9113711
497,-0.7538593
498,-0.99956626
499,-0.8451666
500,-0.8244559
501,-0.6855935
502,-0.8142623
503,-0.8058486
504,-0.6808694
505,-0.8675847
506,-0.6712622
507,-0.9858692
508,-0.9434212
509,-0.9993047
510,-0.37971467
511,-0.26840556
512,-0.9459097
513,-0.6957082
514,-0.99241227
515,-0.6394941
516,-0.98878133
517,-0.9993296
518,-0.53214705
519,-0.8709383
520,-0.960316
521,-0.7457391
522,-0.7899446
523,-0.7943767
524,-0.9999954
525,-0.5336609
526,-0.97250307
527,-0.27256802
528,-0.9729765
529,-0.38775435
530,-0.996805
531,-0.6525824
532,-0.76872945
533,-0.6629363
534,-0.99608934
535,-0.8529396
536,-0.65355587
537,-0.91918176
538,-0.6990637
539,-0.67813057
540,-0.9996529
541,-0.69068736
542,-0.9743918
543,-0.37302363
544,-0.6606339
545,-0.9998347
546,-0.645044
547,-0.52813566
548,-0.9050245
549,-0.80600876
550,-0.895222
551,-0.63707405
552,-0.33647355
553,-0.28172335
554,-0.38157818
555,-0.87314177
556,-0.6931197
557,-0.6921656
558,-0.87225914
559,-0.93360513
560,-0.6794514
561,-0.6659873
562,-0.638999
563,-0.7965335
564,-0.9958209
565,-0.9995449
566,-0.6613791
567,-0.745462
568,-0.97973377
569,-0.90900874
570,-0.5058853
571,-0.99999833
572,-0.8795772
573,-0.9972668
574,-0.35446563
575,-0.41215825
576,-0.66871476
577,-0.46906474
578,-0.94289094
579,-0.33162507
580,-0.9999991
581,-0.7388827
582,-0.6486071
583,-0.9580269
584,-0.69713974
585,-0.9999977
586,-0.9853138
587,-0.40018836
588,-0.6606828
589,-0.33953315
590,-0.67229956
591,-0.94334906
592,-0.7236072
593,-0.73308295
594,-0.98643357
595,-0.9992735
596,-0.35009435
597,-0.8657635
598,-0.7551689
599,-0.94270736
600,-0.9976087
601,-0.68295544
602,-0.9999994
603,-0.99999976
604,-0.9999977
605,-0.26951286
606,-0.98019856
607,-0.8320467
608,-0.7976448
609,-0.75265795
610,-0.29748458
611,-0.99978286
612,-0.9284354
613,-0.99999833
614,-0.9409613
615,-0.66545403
616,-0.82226855
617,-0.33455878
618,-0.3858076
619,-0.7161738
620,-0.27428827
621,-0.71662945
622,-0.63891095
623,-0.44163197
624,-0.34807786
625,-0.48593226
626,-0.3603851
627,-0.50091594
628,-0.8215972
629,-0.6547944
630,-0.6721167
631,-0.99999946
632,-0.649788
633,-0.9614737
634,-0.6113243
635,-0.6750631
636,-0.6476624
637,-0.82126534
638,-0.7074366
639,-0.5729281
640,-0.6334954
641,-0.3114223
642,-0.9284636
643,-0.9692423
644,-0.66955256
645,-0.6537648
646,-0.4344311
647,-0.32503784
648,-0.46867612
649,-0.8537969
650,-0.65404814
651,-0.71518826
652,-0.7039223
653,-0.34418187
654,-0.6946856
655,-0.7376664
656,-0.75074095
657,-0.7109003
658,-0.9999976
659,-0.9874356
660,-0.76343536
