,metric,value,fold,target
0,MSE,0.08083220571279526,1,actual
1,MAE,0.22116215527057648,1,actual
2,MdAE,0.19123664498329163,1,actual
3,ACPER,0.0,1,actual
4,MAPE,-0.5501874089241028,1,actual
5,RMSE,0.2843100428581238,1,actual
6,R2,0.13851635378874083,1,actual
7,MSE,0.0736931562423706,2,actual
8,MAE,0.21611224114894867,2,actual
9,MdAE,0.18579897284507751,2,actual
10,ACPER,0.0,2,actual
11,MAPE,-0.5149654746055603,2,actual
12,RMSE,0.27146482467651367,2,actual
13,R2,0.10395663919395093,2,actual
14,MSE,0.08178992569446564,3,actual
15,MAE,0.21947512030601501,3,actual
16,MdAE,0.18428227305412292,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.5677316784858704,3,actual
19,RMSE,0.285989373922348,3,actual
20,R2,0.05865272776562469,3,actual
21,MSE,0.0817628875374794,4,actual
22,MAE,0.22186945378780365,4,actual
23,MdAE,0.19483816623687744,4,actual
24,ACPER,0.0,4,actual
25,MAPE,-0.5636305809020996,4,actual
26,RMSE,0.28594210743904114,4,actual
27,R2,0.02101385154619595,4,actual
28,MSE,0.07916075736284256,5,actual
29,MAE,0.2104613035917282,5,actual
30,MdAE,0.17015206813812256,5,actual
31,ACPER,0.0,5,actual
32,MAPE,-0.4291577637195587,5,actual
33,RMSE,0.28135520219802856,5,actual
34,R2,0.09437689985396325,5,actual
