,metric,value,fold,target
0,MSE,0.09427592158317566,1,actual
1,MAE,0.22403080761432648,1,actual
2,MdAE,0.1565040946006775,1,actual
3,ACPER,0.0,1,actual
4,MAPE,0.41536903381347656,1,actual
5,RMSE,0.3070438504219055,1,actual
6,R2,0.05144514207809392,1,actual
7,MSE,0.09359105676412582,2,actual
8,MAE,0.22348162531852722,2,actual
9,MdAE,0.15473663806915283,2,actual
10,ACPER,0.0,2,actual
11,MAPE,0.3557423949241638,2,actual
12,RMSE,0.3059265613555908,2,actual
13,R2,0.04575912711323493,2,actual
14,MSE,0.0938437357544899,3,actual
15,MAE,0.22120225429534912,3,actual
16,MdAE,0.1484750509262085,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.19440236687660217,3,actual
19,RMSE,0.3063392639160156,3,actual
20,R2,0.056402555019149925,3,actual
21,MSE,0.09222934395074844,4,actual
22,MAE,0.2186620533466339,4,actual
23,MdAE,0.14602112770080566,4,actual
24,ACPER,0.0,4,actual
25,MAPE,0.4229923486709595,4,actual
26,RMSE,0.30369284749031067,4,actual
27,R2,0.056629896026758386,4,actual
28,MSE,0.09205274283885956,5,actual
29,MAE,0.22061164677143097,5,actual
30,MdAE,0.1511717438697815,5,actual
31,ACPER,0.0,5,actual
32,MAPE,0.46316054463386536,5,actual
33,RMSE,0.3034019470214844,5,actual
34,R2,0.054913213085211465,5,actual
