,0
0,-0.14814846
1,-0.9999778
2,-0.9975081
3,-0.99870616
4,-0.9701571
5,-0.9983706
6,-0.027702142
7,-0.7996018
8,0.79873645
9,-0.9998175
10,-0.95128566
11,-0.9959202
12,-0.61392635
13,-0.9998074
14,-0.14137572
15,-0.99958235
16,-0.05678245
17,-0.2333496
18,-0.99374276
19,-0.2224631
20,-0.04520084
21,-0.99822944
22,-0.08098779
23,-0.856871
24,-0.040776424
25,-0.9765408
26,-0.9775206
27,-0.99889904
28,-0.91286874
29,-0.85219175
30,-0.76956713
31,-0.9907625
32,-0.5913593
33,-0.97841835
34,-0.8043781
35,-0.7874711
36,-0.22575638
37,-0.9403173
38,-0.6969561
39,-0.97616833
40,-0.92155784
41,-0.98701376
42,-0.84195954
43,-0.9315135
44,-0.09858598
45,-0.32391214
46,-0.99323
47,-0.9996173
48,-0.9983582
49,-0.9995105
50,-0.93551993
51,-0.9599958
52,-0.9982445
53,-0.9983635
54,-0.9928841
55,-0.9989756
56,-0.99963164
57,-0.2116307
58,-0.8782622
59,-0.93135935
60,-0.8232461
61,-0.99927765
62,-0.15536198
63,-0.037703726
64,-0.7558504
65,-0.99809736
66,-0.052243434
67,-0.8923733
68,-0.99362844
69,-0.35781905
70,-0.97490656
71,-0.9302648
72,-0.9940397
73,-0.99973595
74,-0.07279506
75,-0.9985882
76,-0.38528228
77,-0.8533975
78,-0.99999225
79,-0.30406988
80,-0.97087646
81,-0.9694286
82,-0.1479534
83,-0.97305
84,-0.9991421
85,-0.5212324
86,-0.99965817
87,-0.16840069
88,-0.07713274
89,-0.39436638
90,-0.9930957
91,-0.24927562
92,-0.995533
93,-0.9999992
94,-0.8716433
95,-0.94269
96,-0.3218314
97,-0.07471863
98,-0.99938554
99,-0.04431739
100,-0.9952973
101,-0.99998635
102,-0.985664
103,-0.99996996
104,-0.6730195
105,-0.99951875
106,-0.93025136
107,-0.901586
108,-0.9976943
109,-0.7920901
110,-0.9982467
111,-0.8534576
112,-0.977836
113,-0.80970675
114,-0.9999641
115,-0.9999831
116,-0.5177913
117,-0.95423037
118,-0.8671554
119,-0.99651664
120,-0.08018053
121,-0.9997678
122,-0.9997434
123,-0.9984652
124,-0.99900687
125,-0.53033257
126,-0.89671665
127,-0.8641825
128,-0.80186874
129,-0.9793452
130,-0.52677906
131,-0.9990865
132,-0.9994595
133,-0.9961354
134,-0.9997573
135,-0.99859875
136,-0.05260915
137,-0.99728024
138,-0.9986929
139,-0.9989791
140,-0.9981956
141,-0.1549139
142,-0.9947689
143,-0.9227911
144,-0.9993822
145,-0.9998098
146,-0.99957687
147,-0.99995667
148,-0.99700767
149,-0.24816643
150,-0.9991318
151,-0.9987289
152,-0.9987704
153,-0.9797611
154,-0.984525
155,-0.99980843
156,-0.14461057
157,-0.9989428
158,-0.9786542
159,-0.65767795
160,-0.97093385
161,-0.99978715
162,-0.09976171
163,-0.99977314
164,-0.99995023
165,-0.19725648
166,-0.9970778
167,-0.9977637
168,-0.041327033
169,-0.08488419
170,-0.22700642
171,-0.033108074
172,-0.99894756
173,-0.95466805
174,-0.929935
175,-0.9892457
176,-0.5412032
177,-0.9997391
178,-0.9521442
179,-0.56867397
180,-0.97947925
181,-0.99954367
182,-0.7487207
183,-0.3749657
184,-0.9997735
185,-0.99715084
186,-0.9993586
187,-0.8218972
188,-0.30670616
189,-0.99586356
190,-0.9996582
191,-0.99998343
192,-0.99985415
193,-0.99702775
194,-0.9982086
195,-0.9759799
196,-0.9997648
197,-0.96101874
198,-0.69498354
199,-0.92275774
200,-0.9999629
201,-0.9861422
202,-0.97498935
203,-0.99999046
204,-0.339215
205,-0.99401855
206,0.20018812
207,0.76073843
208,-0.87681055
209,-0.700864
210,-0.8598014
