,metric,value,fold,target
0,MSE,0.09898185729980469,1,actual
1,MAE,0.23751264810562134,1,actual
2,MdAE,0.1838912069797516,1,actual
3,ACPER,0.0,1,actual
4,MAPE,-0.5640895366668701,1,actual
5,RMSE,0.31461381912231445,1,actual
6,R2,0.019844406802184134,1,actual
7,MSE,0.10087540000677109,2,actual
8,MAE,0.23508639633655548,2,actual
9,MdAE,0.18399041891098022,2,actual
10,ACPER,0.0,2,actual
11,MAPE,-0.618848443031311,2,actual
12,RMSE,0.31760889291763306,2,actual
13,R2,-0.01096398332996218,2,actual
14,MSE,0.08813603967428207,3,actual
15,MAE,0.2247081845998764,3,actual
16,MdAE,0.1772773265838623,3,actual
17,ACPER,0.0,3,actual
18,MAPE,-0.6492685079574585,3,actual
19,RMSE,0.2968771457672119,3,actual
20,R2,0.026351623825263792,3,actual
21,MSE,0.08785504847764969,4,actual
22,MAE,0.2224746197462082,4,actual
23,MdAE,0.17437857389450073,4,actual
24,ACPER,0.0,4,actual
25,MAPE,-1.0663793087005615,4,actual
26,RMSE,0.29640352725982666,4,actual
27,R2,0.09416422752733722,4,actual
28,MSE,0.0870962142944336,5,actual
29,MAE,0.22953806817531586,5,actual
30,MdAE,0.1892978549003601,5,actual
31,ACPER,0.0,5,actual
32,MAPE,-0.5104407072067261,5,actual
33,RMSE,0.2951206862926483,5,actual
34,R2,0.024167530061139142,5,actual
