,0
0,0.45364437
1,0.29096332
2,0.45542166
3,0.4550577
4,0.45865178
5,0.3596592
6,-0.19276431
7,0.23417313
8,0.0260838
9,0.2521837
10,-0.11457805
11,-0.42776206
12,0.27992892
13,-0.05772232
14,0.6267488
15,0.44590566
16,0.56338125
17,0.25725994
18,0.4108708
19,0.22978123
20,0.24308097
21,0.4389121
22,0.40526482
23,0.14141215
24,0.15110634
25,0.4108708
26,0.5439977
27,0.5184399
28,0.34589702
29,0.5052435
30,0.24884193
31,0.4958639
32,0.43082762
33,0.62679714
34,-0.29021084
35,-0.062463384
36,0.17321779
37,0.33378425
38,0.62961316
39,0.26889458
40,0.5747065
41,0.4108708
42,0.29595298
43,0.23285319
44,0.49934676
45,0.2849305
46,0.59769166
47,0.44379696
48,0.28386745
49,-0.21896623
50,0.35285726
51,0.39952123
52,0.32954893
53,0.00972719
54,0.5966251
55,0.30795813
56,0.31773117
57,0.5499676
58,0.6015688
59,0.51988006
60,0.404733
61,0.4108708
62,0.35747868
63,0.17968608
64,0.29799083
65,0.61935747
66,0.23124854
67,0.4947615
68,0.6183785
69,0.2503389
70,0.33016515
71,0.47730485
72,0.5798699
73,0.5532946
74,0.3606697
75,0.27526307
76,0.56828785
77,0.34181017
78,0.34087378
79,-0.66198087
80,0.3869186
81,-0.49619257
82,0.5214474
83,0.24336156
84,0.1854435
85,0.46860856
86,0.45515126
87,0.2658834
88,0.294052
89,0.13553645
90,0.4108708
91,-0.5315563
92,0.4108708
93,-0.6359852
94,0.4828805
95,-0.09717139
96,0.4108708
97,0.23475094
98,0.47076803
99,0.5766622
100,0.5388994
101,0.4961442
102,0.4108708
103,0.26079327
104,0.10536766
105,0.6443553
106,0.32542416
107,0.4375182
108,0.303564
109,0.58607304
110,0.5643208
111,0.3630162
112,-0.99310994
113,-0.46534616
114,0.6457276
115,0.23319292
116,0.60215425
117,0.49754104
118,0.6485753
119,0.6437835
120,0.359733
121,0.447346
122,0.20587021
123,0.5762015
124,0.12138031
125,0.39985272
126,0.31912687
127,0.696809
128,-0.3843627
129,-0.42823395
130,0.09575221
131,0.15028241
132,0.6002798
133,0.37023062
134,0.2808288
135,0.32211873
136,0.5594637
137,0.5160113
138,-0.69963706
139,0.46350718
140,0.5684693
141,0.49248463
142,0.30841023
143,0.2703175
144,0.6100904
145,0.17483734
146,-0.07077506
147,0.12768488
148,0.5277296
149,0.562791
150,0.6099395
151,0.45515126
152,0.5689334
