,metric,value,fold,target
0,MSE,0.06953001767396927,1,actual
1,MAE,0.19022159278392792,1,actual
2,MdAE,0.1364583969116211,1,actual
3,ACPER,0.05303030303030303,1,actual
4,MAPE,0.025604335591197014,1,actual
5,RMSE,0.2636854648590088,1,actual
6,R2,0.008625577438695964,1,actual
7,MSE,0.07567178457975388,2,actual
8,MAE,0.1938217431306839,2,actual
9,MdAE,0.145511656999588,2,actual
10,ACPER,0.04933586337760911,2,actual
11,MAPE,0.3790096640586853,2,actual
12,RMSE,0.27508506178855896,2,actual
13,R2,-0.0033684766597950055,2,actual
14,MSE,0.07425783574581146,3,actual
15,MAE,0.19191929697990417,3,actual
16,MdAE,0.13368502259254456,3,actual
17,ACPER,0.05313092979127135,3,actual
18,MAPE,0.06239521503448486,3,actual
19,RMSE,0.2725028991699219,3,actual
20,R2,0.07427911714844337,3,actual
21,MSE,0.06947555392980576,4,actual
22,MAE,0.18371252715587616,4,actual
23,MdAE,0.13771486282348633,4,actual
24,ACPER,0.07969639468690702,4,actual
25,MAPE,0.5154523849487305,4,actual
26,RMSE,0.26358217000961304,4,actual
27,R2,0.163346683003334,4,actual
28,MSE,0.07658188790082932,5,actual
29,MAE,0.19743521511554718,5,actual
30,MdAE,0.1477845013141632,5,actual
31,ACPER,0.05313092979127135,5,actual
32,MAPE,0.5856128334999084,5,actual
33,RMSE,0.276734322309494,5,actual
34,R2,0.1118585478432822,5,actual
