,metric,value,fold,target
0,MSE,0.3469826281070709,1,actual
1,MAE,0.44634371995925903,1,actual
2,MdAE,0.338344931602478,1,actual
3,ACPER,0.07947019867549669,1,actual
4,MAPE,1.9059994220733643,1,actual
5,RMSE,0.5890523195266724,1,actual
6,R2,-0.05157843125545325,1,actual
7,MSE,0.29261335730552673,2,actual
8,MAE,0.40942609310150146,2,actual
9,MdAE,0.3292059302330017,2,actual
10,ACPER,0.09602649006622517,2,actual
11,MAPE,0.5637218356132507,2,actual
12,RMSE,0.5409374833106995,2,actual
13,R2,-0.07227711177426022,2,actual
14,MSE,0.31385231018066406,3,actual
15,MAE,0.4321865141391754,3,actual
16,MdAE,0.3322344422340393,3,actual
17,ACPER,0.076158940397351,3,actual
18,MAPE,-0.037233151495456696,3,actual
19,RMSE,0.560225248336792,3,actual
20,R2,-0.049643296424650485,3,actual
21,MSE,0.280780166387558,4,actual
22,MAE,0.41096389293670654,4,actual
23,MdAE,0.3114757239818573,4,actual
24,ACPER,0.08940397350993377,4,actual
25,MAPE,1.0422751903533936,4,actual
26,RMSE,0.5298869609832764,4,actual
27,R2,-0.06606142572130147,4,actual
28,MSE,0.2702540159225464,5,actual
29,MAE,0.39973336458206177,5,actual
30,MdAE,0.3234894275665283,5,actual
31,ACPER,0.09602649006622517,5,actual
32,MAPE,1.0899734497070312,5,actual
33,RMSE,0.5198596119880676,5,actual
34,R2,-0.18040228280024695,5,actual
