,metric,value,fold,target
0,MSE,0.38679760694503784,1,actual
1,MAE,0.48181021213531494,1,actual
2,MdAE,0.36927950382232666,1,actual
3,ACPER,0.04966887417218543,1,actual
4,MAPE,1.9133731126785278,1,actual
5,RMSE,0.6219305396080017,1,actual
6,R2,-0.17224318508044756,1,actual
7,MSE,0.42256489396095276,2,actual
8,MAE,0.5117655396461487,2,actual
9,MdAE,0.4345495104789734,2,actual
10,ACPER,0.0695364238410596,2,actual
11,MAPE,0.828494668006897,2,actual
12,RMSE,0.6500499248504639,2,actual
13,R2,-0.5484824793938528,2,actual
14,MSE,0.38769668340682983,3,actual
15,MAE,0.4794561266899109,3,actual
16,MdAE,0.38648226857185364,3,actual
17,ACPER,0.08609271523178808,3,actual
18,MAPE,0.2655269503593445,3,actual
19,RMSE,0.6226529479026794,3,actual
20,R2,-0.29660731548601627,3,actual
21,MSE,0.4186219573020935,4,actual
22,MAE,0.496884822845459,4,actual
23,MdAE,0.3971349895000458,4,actual
24,ACPER,0.059602649006622516,4,actual
25,MAPE,0.921142578125,4,actual
26,RMSE,0.6470100283622742,4,actual
27,R2,-0.5894168201350523,4,actual
28,MSE,0.40267544984817505,5,actual
29,MAE,0.49035999178886414,5,actual
30,MdAE,0.37142226099967957,5,actual
31,ACPER,0.0695364238410596,5,actual
32,MAPE,1.0687552690505981,5,actual
33,RMSE,0.634567141532898,5,actual
34,R2,-0.7587861228113519,5,actual
