,metric,value,fold,target
0,MSE,0.35706570744514465,1,actual
1,MAE,0.45889607071876526,1,actual
2,MdAE,0.3601367771625519,1,actual
3,ACPER,0.0695364238410596,1,actual
4,MAPE,2.3920164108276367,1,actual
5,RMSE,0.5975497364997864,1,actual
6,R2,-0.08213658228542009,1,actual
7,MSE,0.37903907895088196,2,actual
8,MAE,0.4815993010997772,2,actual
9,MdAE,0.3830050528049469,2,actual
10,ACPER,0.08278145695364239,2,actual
11,MAPE,0.745100200176239,2,actual
12,RMSE,0.6156615018844604,2,actual
13,R2,-0.3889828684423571,2,actual
14,MSE,0.3681968152523041,3,actual
15,MAE,0.4672090709209442,3,actual
16,MdAE,0.36549776792526245,3,actual
17,ACPER,0.08940397350993377,3,actual
18,MAPE,0.2223661243915558,3,actual
19,RMSE,0.6067922115325928,3,actual
20,R2,-0.23139229721698729,3,actual
21,MSE,0.38839033246040344,4,actual
22,MAE,0.4804082214832306,4,actual
23,MdAE,0.3674870431423187,4,actual
24,ACPER,0.0728476821192053,4,actual
25,MAPE,0.9567663073539734,4,actual
26,RMSE,0.6232097148895264,4,actual
27,R2,-0.4746339779005524,4,actual
28,MSE,0.3392840623855591,5,actual
29,MAE,0.45310261845588684,5,actual
30,MdAE,0.35943877696990967,5,actual
31,ACPER,0.06622516556291391,5,actual
32,MAPE,1.0328105688095093,5,actual
33,RMSE,0.5824809670448303,5,actual
34,R2,-0.4819083743980428,5,actual
